date,position,driver_number
2024-07-28 13:26:08.424000+00:00,4,14
2024-07-28 13:26:08.424000+00:00,5,44
2024-07-28 13:26:08.424000+00:00,7,81
2024-07-28 13:26:16.084000+00:00,10,18
2024-07-28 13:26:16.084000+00:00,9,63
2024-07-28 13:26:17.260000+00:00,10,1
2024-07-28 13:26:17.260000+00:00,11,18
2024-07-28 13:26:17.260000+00:00,13,20
2024-07-28 13:26:17.260000+00:00,12,77
2024-07-28 13:26:19.604000+00:00,12,20
2024-07-28 13:26:19.604000+00:00,13,77
2024-07-28 13:26:21.184000+00:00,13,22
2024-07-28 13:26:21.184000+00:00,14,77
2024-07-28 13:26:23.274000+00:00,14,23
2024-07-28 13:26:23.274000+00:00,15,77
2024-07-28 13:26:26.610000+00:00,15,3
2024-07-28 13:26:26.610000+00:00,16,77
2024-07-28 13:26:28.091000+00:00,16,27
2024-07-28 13:26:28.091000+00:00,17,77
2024-07-28 13:26:28.531000+00:00,17,10
2024-07-28 13:26:28.531000+00:00,18,77
2024-07-28 13:27:47.800000+00:00,2,16
2024-07-28 13:27:47.800000+00:00,1,55
2024-07-28 13:27:50.661000+00:00,2,4
2024-07-28 13:27:50.661000+00:00,3,16
2024-07-28 13:27:59.372000+00:00,5,14
2024-07-28 13:27:59.372000+00:00,4,16
2024-07-28 13:27:59.372000+00:00,3,44
2024-07-28 13:28:03.070000+00:00,7,11
2024-07-28 13:28:03.070000+00:00,6,14
2024-07-28 13:28:03.070000+00:00,5,81
2024-07-28 13:28:04.744000+00:00,9,31
2024-07-28 13:28:04.744000+00:00,8,63
2024-07-28 13:28:05.681000+00:00,9,1
2024-07-28 13:28:05.681000+00:00,10,31
2024-07-28 13:28:10.507000+00:00,12,18
2024-07-28 13:28:10.507000+00:00,10,20
2024-07-28 13:28:10.507000+00:00,11,31
2024-07-28 13:28:12.514000+00:00,13,18
2024-07-28 13:28:12.514000+00:00,11,22
2024-07-28 13:28:12.514000+00:00,12,31
2024-07-28 13:28:13.681000+00:00,14,18
2024-07-28 13:28:13.681000+00:00,12,23
2024-07-28 13:28:13.681000+00:00,13,31
2024-07-28 13:28:16.425000+00:00,13,3
2024-07-28 13:28:16.425000+00:00,15,18
2024-07-28 13:28:16.425000+00:00,14,31
2024-07-28 13:28:17.983000+00:00,16,18
2024-07-28 13:28:17.983000+00:00,14,27
2024-07-28 13:28:17.983000+00:00,15,31
2024-07-28 13:28:18.514000+00:00,15,10
2024-07-28 13:28:18.514000+00:00,17,18
2024-07-28 13:28:18.514000+00:00,16,31
2024-07-28 13:28:19.099000+00:00,18,18
2024-07-28 13:28:19.099000+00:00,17,31
2024-07-28 13:28:19.099000+00:00,16,77
2024-07-28 13:28:23.938000+00:00,18,2
2024-07-28 13:28:23.938000+00:00,19,18
2024-07-28 13:29:52.159000+00:00,6,11
2024-07-28 13:29:52.159000+00:00,7,14
2024-07-28 13:29:52.972000+00:00,8,14
2024-07-28 13:29:52.972000+00:00,7,63
2024-07-28 13:29:53.748000+00:00,8,1
2024-07-28 13:29:53.748000+00:00,9,14
2024-07-28 13:30:01.469000+00:00,10,14
2024-07-28 13:30:01.469000+00:00,9,20
2024-07-28 13:30:03.603000+00:00,11,14
2024-07-28 13:30:03.603000+00:00,10,22
2024-07-28 13:30:04.112000+00:00,12,14
2024-07-28 13:30:04.112000+00:00,11,23
2024-07-28 13:30:05.828000+00:00,12,3
2024-07-28 13:30:05.828000+00:00,13,14
2024-07-28 13:30:09.462000+00:00,16,31
2024-07-28 13:30:09.462000+00:00,17,77
2024-07-28 13:30:13.296000+00:00,19,2
2024-07-28 13:30:13.296000+00:00,18,18
2024-07-28 13:31:54.034000+00:00,11,22
2024-07-28 13:31:54.034000+00:00,10,23
2024-07-28 13:31:56.005000+00:00,11,3
2024-07-28 13:31:56.005000+00:00,12,22
2024-07-28 13:31:56.447000+00:00,12,14
2024-07-28 13:31:56.447000+00:00,13,22
2024-07-28 13:31:58.497000+00:00,14,22
2024-07-28 13:31:58.497000+00:00,13,27
2024-07-28 13:31:58.847000+00:00,16,10
2024-07-28 13:31:58.847000+00:00,15,22
2024-07-28 13:31:58.847000+00:00,14,31
2024-07-28 13:31:59.552000+00:00,15,10
2024-07-28 13:31:59.552000+00:00,16,22
2024-07-28 13:33:23.645000+00:00,3,4
2024-07-28 13:33:23.645000+00:00,2,44
2024-07-28 13:33:25.117000+00:00,4,4
2024-07-28 13:33:25.117000+00:00,3,16
2024-07-28 13:33:27.757000+00:00,5,4
2024-07-28 13:33:27.757000+00:00,4,81
2024-07-28 13:33:28.985000+00:00,6,4
2024-07-28 13:33:28.985000+00:00,5,11
2024-07-28 13:33:29.900000+00:00,7,4
2024-07-28 13:33:29.900000+00:00,6,63
2024-07-28 13:33:30.612000+00:00,7,1
2024-07-28 13:33:30.612000+00:00,8,4
2024-07-28 13:33:47.975000+00:00,14,27
2024-07-28 13:33:47.975000+00:00,13,31
2024-07-28 13:33:50.502000+00:00,17,22
2024-07-28 13:33:50.502000+00:00,16,77
2024-07-28 13:33:52.649000+00:00,17,18
2024-07-28 13:33:52.649000+00:00,18,22
2024-07-28 13:33:56.217000+00:00,18,2
2024-07-28 13:33:56.217000+00:00,19,22
2024-07-28 13:35:34.237000+00:00,10,20
2024-07-28 13:35:34.237000+00:00,9,23
2024-07-28 13:35:35.100000+00:00,10,3
2024-07-28 13:35:35.100000+00:00,11,20
2024-07-28 13:35:36.241000+00:00,11,14
2024-07-28 13:35:36.241000+00:00,12,20
2024-07-28 13:35:39.534000+00:00,14,10
2024-07-28 13:35:39.534000+00:00,15,27
2024-07-28 13:37:26.718000+00:00,13,20
2024-07-28 13:37:26.718000+00:00,12,31
2024-07-28 13:37:29.621000+00:00,13,10
2024-07-28 13:37:29.621000+00:00,14,20
2024-07-28 13:37:30.450000+00:00,15,20
2024-07-28 13:37:30.450000+00:00,14,27
2024-07-28 13:37:31.129000+00:00,16,20
2024-07-28 13:37:31.129000+00:00,15,77
2024-07-28 13:37:32.290000+00:00,16,18
2024-07-28 13:37:32.290000+00:00,17,20
2024-07-28 13:37:37.770000+00:00,17,2
2024-07-28 13:37:37.770000+00:00,18,20
2024-07-28 13:39:20.429000+00:00,15,27
2024-07-28 13:39:20.429000+00:00,14,77
2024-07-28 13:40:35.837000+00:00,1,44
2024-07-28 13:40:35.837000+00:00,2,55
2024-07-28 13:40:37.669000+00:00,2,16
2024-07-28 13:40:37.669000+00:00,3,55
2024-07-28 13:41:05.882000+00:00,12,14
2024-07-28 13:41:05.882000+00:00,11,31
2024-07-28 13:41:12.858000+00:00,15,18
2024-07-28 13:41:12.858000+00:00,16,27
2024-07-28 13:42:28.979000+00:00,4,55
2024-07-28 13:42:28.979000+00:00,3,81
2024-07-28 13:42:32.742000+00:00,6,11
2024-07-28 13:42:32.742000+00:00,5,55
2024-07-28 13:42:32.742000+00:00,4,63
2024-07-28 13:42:34.837000+00:00,5,1
2024-07-28 13:42:34.837000+00:00,7,11
2024-07-28 13:42:34.837000+00:00,6,55
2024-07-28 13:42:35.978000+00:00,6,4
2024-07-28 13:42:35.978000+00:00,8,11
2024-07-28 13:42:35.978000+00:00,7,55
